uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category,event_info,event_member_org,event_source_org,event_distribution,event_threat_level_id,event_analysis,event_date,event_tag,event_timestamp
5ebd61c0-8720-426f-9d1e-01b744b7dd05,1217,External analysis,url,https://nltimes.nl/2020/05/14/russia-spreading-coronavirus-disinformation-netherlands-minister-says,,1,1589469632,url,,5ebd61c0-9ccc-4897-a3e8-01b744b7dd05,url,network,RUSSIA SPREADING CORONAVIRUS DISINFORMATION IN NETHERLANDS,[Name Redacted],[Name Redacted],2,High,0,2020-05-14,"current-event:pandemic=""covid-19"",pandemic:covid-19=""disinformation"",misp-galaxy:amitt-misinformation-pattern=""Continue to amplify"",misp-galaxy:amitt-misinformation-pattern=""Conspiracy narratives"",misp-galaxy:amitt-misinformation-pattern=""Generate information pollution"",TLP: white",1589470003
5ebd61c0-8dec-4136-bc49-01b744b7dd05,1217,Other,text,"RUSSIA SPREADING CORONAVIRUS DISINFORMATION IN NETHERLANDS, MINISTER SAYS",,0,1589469632,fragment,,5ebd61c0-9ccc-4897-a3e8-01b744b7dd05,url,network,RUSSIA SPREADING CORONAVIRUS DISINFORMATION IN NETHERLANDS,[Name Redacted],[Name Redacted],2,High,0,2020-05-14,"current-event:pandemic=""covid-19"",pandemic:covid-19=""disinformation"",misp-galaxy:amitt-misinformation-pattern=""Continue to amplify"",misp-galaxy:amitt-misinformation-pattern=""Conspiracy narratives"",misp-galaxy:amitt-misinformation-pattern=""Generate information pollution"",TLP: white",1589470003
5ebd61c0-399c-4bb9-9675-01b744b7dd05,1217,Other,text,"Russia is spreading disinformation about the coronavirus in the Netherlands, Minister Kasja Ollongren of Home Affairs said in a letter to parliament. Intelligence service AIVD found ""Russian narratives"" about the virus being shared in a number of Dutch-language social media groups, she said.

These narratives emphasize ""alleged European divisions and lack of mutual solidarity between countries in Western Europe in the field of Covid-19,"" Ollongren wrote. She added that outside the social media groups in which these messages were shared, their reach remained limited.

The Minister did not say in which social media groups the messages were shared, or what evidence the AIVD found of Russian interference. 

Ollongren said that this type of disinformation cannot legally be prevented, because it is covered by protected speech unless it takes the form of illegal content, like child pornography, hate speech, or promoting terrorism. She called on internet platforms and political parties to be more transparent, and step up the fight against the spread of disinformation.

The government can also play a regulatory role to make sure people understand where there content is coming from, and who sponsored it as an advertisement, the Minister said. 

According to Ollongren, an abundance of information surrounds the coronavirus, which makes it difficult for people to find reliable sources and information. Misleading information about Covid-19 is circulating in various ways, she said, specifically mentioning the rumor that the virus is connected to the 5G network. 

""This misleading information about 5G may have contributed to the arson of various masts in recent weeks,"" Ollongren said. ""The European Commission and health organization WHO already emphasized that there is no link between Covid-19 and 5G technology, and that viruses are not spread via radio waves or mobile networks.""

On Tuesday, King Willem-Alexander reappointed Ollongren to her old position of Deputy Prime Minister, at Prime Minister Mark Rutte's recommendation. Social Affairs Minister Wouter Koolmees will no longer serve as the Deputy PM, a position he held on a temporary basis while Ollongren recovered from a medical procedure.",,0,1589469632,text,,5ebd61c0-9ccc-4897-a3e8-01b744b7dd05,url,network,RUSSIA SPREADING CORONAVIRUS DISINFORMATION IN NETHERLANDS,[Name Redacted],[Name Redacted],2,High,0,2020-05-14,"current-event:pandemic=""covid-19"",pandemic:covid-19=""disinformation"",misp-galaxy:amitt-misinformation-pattern=""Continue to amplify"",misp-galaxy:amitt-misinformation-pattern=""Conspiracy narratives"",misp-galaxy:amitt-misinformation-pattern=""Generate information pollution"",TLP: white",1589470003
5ebd6246-6720-48d9-a17f-01dd44b7dd05,1217,Other,text,nltimes.nl,,0,1589469766,source,,5ebd6246-fa44-43b0-933a-01dd44b7dd05,news-media,misc,RUSSIA SPREADING CORONAVIRUS DISINFORMATION IN NETHERLANDS,[Name Redacted],[Name Redacted],2,High,0,2020-05-14,"current-event:pandemic=""covid-19"",pandemic:covid-19=""disinformation"",misp-galaxy:amitt-misinformation-pattern=""Continue to amplify"",misp-galaxy:amitt-misinformation-pattern=""Conspiracy narratives"",misp-galaxy:amitt-misinformation-pattern=""Generate information pollution"",TLP: white",1589470003
5ebd6246-1ba0-42d8-b096-01dd44b7dd05,1217,Other,text,[Name Redacted],,0,1589469766,username,,5ebd6246-fa44-43b0-933a-01dd44b7dd05,news-media,misc,RUSSIA SPREADING CORONAVIRUS DISINFORMATION IN NETHERLANDS,[Name Redacted],[Name Redacted],2,High,0,2020-05-14,"current-event:pandemic=""covid-19"",pandemic:covid-19=""disinformation"",misp-galaxy:amitt-misinformation-pattern=""Continue to amplify"",misp-galaxy:amitt-misinformation-pattern=""Conspiracy narratives"",misp-galaxy:amitt-misinformation-pattern=""Generate information pollution"",TLP: white",1589470003
5ebd6246-0854-406a-a5b4-01dd44b7dd05,1217,Network activity,url,https://nltimes.nl/tags/5g-arson,,1,1589469766,embedded-link,,5ebd6246-fa44-43b0-933a-01dd44b7dd05,news-media,misc,RUSSIA SPREADING CORONAVIRUS DISINFORMATION IN NETHERLANDS,[Name Redacted],[Name Redacted],2,High,0,2020-05-14,"current-event:pandemic=""covid-19"",pandemic:covid-19=""disinformation"",misp-galaxy:amitt-misinformation-pattern=""Continue to amplify"",misp-galaxy:amitt-misinformation-pattern=""Conspiracy narratives"",misp-galaxy:amitt-misinformation-pattern=""Generate information pollution"",TLP: white",1589470003
