uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category,event_info,event_member_org,event_source_org,event_distribution,event_threat_level_id,event_analysis,event_date,event_tag,event_timestamp
"82034f16-7793-4650-aba4-87e2b771e368",1192,"Network activity","url","https://twitter.com/realDonaldTrump/status/1259849944216846337","",1,1589475416,"url","","6a7814cb-f321-4183-9834-0b346e064e41","microblog","misc","obamagate","covid-19","covid-19",3,"Undefined",0,"2020-05-11","current-event:pandemic=""covid-19"",pandemic:covid-19=""disinformation""",1589737982
"387688c0-db51-4893-9ccd-abe1e4fb334a",1192,"Network activity","url","https://twitter.com/realDonaldTrump/status/1259867421676109824","",1,1589477265,"url","","d436e175-77ce-414f-982f-085797e1300f","microblog","misc","obamagate","covid-19","covid-19",3,"Undefined",0,"2020-05-11","current-event:pandemic=""covid-19"",pandemic:covid-19=""disinformation""",1589737982
"69ad7ac2-ef86-4c5a-a2e5-f16578c9b783",1192,"Network activity","url","https://twitter.com/MZHemingway/status/1259835225670144000","",1,1589477266,"embedded-link","","d436e175-77ce-414f-982f-085797e1300f","microblog","misc","obamagate","covid-19","covid-19",3,"Undefined",0,"2020-05-11","current-event:pandemic=""covid-19"",pandemic:covid-19=""disinformation""",1589737982
"bf479f1b-49e5-4e91-bd6e-9c7ad0f269e3",1192,"Network activity","url","https://t.co/PTzFvvITh3","",1,1589477266,"embedded-link","","d436e175-77ce-414f-982f-085797e1300f","microblog","misc","obamagate","covid-19","covid-19",3,"Undefined",0,"2020-05-11","current-event:pandemic=""covid-19"",pandemic:covid-19=""disinformation""",1589737982
"ec400679-2298-45f8-8111-de93175eb6da",1192,"Network activity","url","https://twitter.com/realDonaldTrump/status/1259667289252790275","",1,1589477366,"url","","d390b12b-6d23-4dcf-9438-e806ba6295a6","microblog","misc","obamagate","covid-19","covid-19",3,"Undefined",0,"2020-05-11","current-event:pandemic=""covid-19"",pandemic:covid-19=""disinformation""",1589737982
"2e4ba06f-3508-41a7-b941-a8d4bda99fa7",1192,"Network activity","url","https://twitter.com/mikandynothem/status/1259556010408075264","",1,1589477366,"embedded-link","","d390b12b-6d23-4dcf-9438-e806ba6295a6","microblog","misc","obamagate","covid-19","covid-19",3,"Undefined",0,"2020-05-11","current-event:pandemic=""covid-19"",pandemic:covid-19=""disinformation""",1589737982
"ace1baa9-2405-46c7-9c04-5bc02dbfb1cb",1192,"Network activity","url","https://t.co/oV6fum0zIS","",1,1589477366,"embedded-link","","d390b12b-6d23-4dcf-9438-e806ba6295a6","microblog","misc","obamagate","covid-19","covid-19",3,"Undefined",0,"2020-05-11","current-event:pandemic=""covid-19"",pandemic:covid-19=""disinformation""",1589737982

